GEO_ID,S1901_C01_012E
1400000US06037101110,84091
1400000US06037101122,99583
1400000US06037101220,69676
1400000US06037101221,53798
1400000US06037101222,45662
1400000US06037101300,125675
1400000US06037101400,81154
1400000US06037102103,72656
1400000US06037102104,107656
1400000US06037102105,96167
1400000US06037102107,104500
1400000US06037103101,117857
1400000US06037103102,71754
1400000US06037103201,91213
1400000US06037103202,117338
1400000US06037103300,148036
1400000US06037103401,100893
1400000US06037103402,106161
1400000US06037104103,109688
1400000US06037104105,60519
1400000US06037104108,73344
1400000US06037104124,90469
1400000US06037104201,101509
1400000US06037104203,67872
1400000US06037104204,66167
1400000US06037104310,106250
1400000US06037104321,65521
1400000US06037104322,88125
1400000US06037104401,75234
1400000US06037104403,98400
1400000US06037104404,88125
1400000US06037104500,77888
1400000US06037104610,86220
1400000US06037104620,88972
1400000US06037104701,53011
1400000US06037104703,47981
1400000US06037104704,72784
1400000US06037104821,81518
1400000US06037104822,48750
1400000US06037104823,81500
1400000US06037104824,112375
1400000US06037106010,144375
1400000US06037106020,123250
1400000US06037106111,115357
1400000US06037106112,100758
1400000US06037106113,126190
1400000US06037106114,72065
1400000US06037106403,101346
1400000US06037106405,88651
1400000US06037106406,104598
1400000US06037106407,29083
1400000US06037106408,58056
1400000US06037106510,121935
1400000US06037106520,87029
1400000US06037106603,142500
1400000US06037106604,66611
1400000US06037106641,118387
1400000US06037106642,139145
1400000US06037106643,201250
1400000US06037106645,151389
1400000US06037106646,122734
1400000US06037106648,69125
1400000US06037106649,104773
1400000US06037107010,92788
1400000US06037107020,81429
1400000US06037108101,151027
1400000US06037108102,131014
1400000US06037108103,147893
1400000US06037108104,144167
1400000US06037108202,185852
1400000US06037108203,151250
1400000US06037108204,177283
1400000US06037109100,72396
1400000US06037109200,120016
1400000US06037109300,121750
1400000US06037109400,99718
1400000US06037109500,83561
1400000US06037109601,119063
1400000US06037109603,83878
1400000US06037109604,105015
1400000US06037109700,117104
1400000US06037109800,76681
1400000US06037111100,109600
1400000US06037111201,114489
1400000US06037111202,109137
1400000US06037111204,178706
1400000US06037111205,107028
1400000US06037111206,148929
1400000US06037111302,99457
1400000US06037111303,110469
1400000US06037111304,53989
1400000US06037111401,127115
1400000US06037111402,58650
1400000US06037113101,129038
1400000US06037113102,215756
1400000US06037113211,111806
1400000US06037113212,88917
1400000US06037113213,130446
1400000US06037113231,132981
1400000US06037113232,150678
1400000US06037113234,72769
1400000US06037113235,89744
1400000US06037113237,142917
1400000US06037113238,64717
1400000US06037113239,50625
1400000US06037113301,127448
1400000US06037113303,111893
1400000US06037113322,120364
1400000US06037113323,97064
1400000US06037113324,100960
1400000US06037113423,99000
1400000US06037113424,113472
1400000US06037113425,69559
1400000US06037113426,77070
1400000US06037113427,62266
1400000US06037113428,132614
1400000US06037115101,157829
1400000US06037115103,-
1400000US06037115104,86522
1400000US06037115202,66679
1400000US06037115203,76121
1400000US06037115204,100195
1400000US06037115301,95152
1400000US06037115302,76250
1400000US06037115401,62271
1400000US06037115403,72036
1400000US06037115404,104286
1400000US06037117101,110761
1400000US06037117102,94844
1400000US06037117201,54301
1400000US06037117202,98438
1400000US06037117301,146696
1400000US06037117302,115708
1400000US06037117303,129211
1400000US06037117404,130034
1400000US06037117405,49615
1400000US06037117407,53512
1400000US06037117408,49786
1400000US06037117510,57984
1400000US06037117520,50735
1400000US06037117530,42661
1400000US06037119001,113114
1400000US06037119003,99559
1400000US06037119004,90417
1400000US06037119201,108807
1400000US06037119202,75930
1400000US06037119310,68462
1400000US06037119320,87903
1400000US06037119340,46250
1400000US06037119341,53623
1400000US06037119342,76713
1400000US06037119400,99875
1400000US06037119700,90994
1400000US06037119801,117708
1400000US06037119802,94063
1400000US06037119900,86500
1400000US06037120010,59938
1400000US06037120020,42708
1400000US06037120030,48281
1400000US06037120103,47069
1400000US06037120104,52198
1400000US06037120105,47903
1400000US06037120106,41045
1400000US06037120107,41424
1400000US06037120108,58816
1400000US06037120300,56364
1400000US06037120400,67679
1400000US06037121010,76133
1400000US06037121020,67784
1400000US06037121101,67778
1400000US06037121102,81111
1400000US06037121210,77195
1400000US06037121221,90417
1400000US06037121222,79167
1400000US06037121600,95250
1400000US06037121801,50357
1400000US06037121802,96304
1400000US06037121900,57381
1400000US06037122000,96763
1400000US06037122120,67083
1400000US06037122121,57500
1400000US06037122122,47799
1400000US06037122200,74293
1400000US06037122410,65060
1400000US06037122420,76250
1400000US06037123010,50136
1400000US06037123020,83968
1400000US06037123103,87011
1400000US06037123104,71606
1400000US06037123203,41923
1400000US06037123204,67500
1400000US06037123205,60417
1400000US06037123206,53036
1400000US06037123301,69118
1400000US06037123303,72109
1400000US06037123304,46300
1400000US06037123410,45167
1400000US06037123420,56519
1400000US06037123510,51546
1400000US06037123520,59643
1400000US06037123601,87295
1400000US06037123602,69311
1400000US06037123700,93201
1400000US06037123800,92964
1400000US06037123901,56333
1400000US06037123902,86583
1400000US06037124000,82127
1400000US06037124102,76315
1400000US06037124103,70350
1400000US06037124104,53775
1400000US06037124105,66726
1400000US06037124201,73079
1400000US06037124203,79570
1400000US06037124204,52451
1400000US06037124300,69909
1400000US06037124400,86713
1400000US06037124500,77635
1400000US06037124600,100257
1400000US06037124700,110375
1400000US06037124902,62051
1400000US06037124903,78575
1400000US06037125101,81944
1400000US06037125102,164313
1400000US06037125200,85200
1400000US06037125310,58548
1400000US06037125321,61625
1400000US06037125322,47991
1400000US06037125402,88943
1400000US06037125403,85956
1400000US06037125404,79967
1400000US06037125501,60714
1400000US06037125502,84107
1400000US06037125600,110318
1400000US06037127102,61848
1400000US06037127103,56071
1400000US06037127104,64678
1400000US06037127210,64000
1400000US06037127220,46005
1400000US06037127300,81049
1400000US06037127400,63587
1400000US06037127520,52290
1400000US06037127603,58460
1400000US06037127604,47724
1400000US06037127605,71500
1400000US06037127606,66383
1400000US06037127711,93194
1400000US06037127712,64239
1400000US06037127803,70500
1400000US06037127804,68790
1400000US06037127805,65952
1400000US06037127806,81250
1400000US06037127910,68981
1400000US06037127920,71042
1400000US06037128101,82232
1400000US06037128102,57558
1400000US06037128210,44316
1400000US06037128220,60794
1400000US06037128302,57700
1400000US06037128303,43750
1400000US06037128400,132931
1400000US06037128500,121500
1400000US06037128601,71893
1400000US06037128602,87574
1400000US06037128703,101705
1400000US06037128704,127422
1400000US06037128801,83125
1400000US06037128802,96818
1400000US06037128910,108321
1400000US06037131021,60609
1400000US06037131022,65000
1400000US06037131023,74954
1400000US06037131024,97083
1400000US06037131100,107500
1400000US06037131200,130500
1400000US06037131300,93594
1400000US06037131400,101500
1400000US06037131600,84773
1400000US06037131701,76326
1400000US06037131702,70962
1400000US06037131801,60185
1400000US06037131802,96742
1400000US06037131900,135442
1400000US06037132001,116167
1400000US06037132002,106890
1400000US06037132101,71932
1400000US06037132102,74313
1400000US06037132301,60517
1400000US06037132302,108492
1400000US06037132501,91231
1400000US06037132502,61354
1400000US06037132700,81625
1400000US06037132900,102825
1400000US06037133000,100385
1400000US06037133101,109211
1400000US06037133102,60741
1400000US06037134001,90625
1400000US06037134002,72901
1400000US06037134101,92130
1400000US06037134103,78750
1400000US06037134104,72866
1400000US06037134201,99545
1400000US06037134302,124779
1400000US06037134303,109063
1400000US06037134304,75104
1400000US06037134305,55042
1400000US06037134306,53170
1400000US06037134421,145048
1400000US06037134422,168889
1400000US06037134423,134018
1400000US06037134424,153946
1400000US06037134520,55271
1400000US06037134521,53413
1400000US06037134522,56402
1400000US06037134710,54715
1400000US06037134720,103553
1400000US06037134801,94559
1400000US06037134802,80547
1400000US06037134901,82435
1400000US06037134904,98173
1400000US06037134905,101628
1400000US06037134906,86275
1400000US06037134907,92020
1400000US06037135102,154070
1400000US06037135111,101157
1400000US06037135113,112552
1400000US06037135115,100108
1400000US06037135116,58750
1400000US06037135201,127917
1400000US06037135202,133839
1400000US06037135204,128359
1400000US06037135205,117031
1400000US06037137000,125938
1400000US06037137103,85234
1400000US06037137104,107153
1400000US06037137202,69526
1400000US06037137203,149519
1400000US06037137301,188857
1400000US06037137302,176523
1400000US06037137401,146406
1400000US06037137402,143672
1400000US06037137501,98555
1400000US06037137502,144450
1400000US06037137504,208750
1400000US06037138000,139855
1400000US06037139001,113972
1400000US06037139200,96690
1400000US06037139301,162708
1400000US06037139302,82066
1400000US06037139303,67891
1400000US06037139401,81815
1400000US06037139402,159926
1400000US06037139502,126875
1400000US06037139504,59178
1400000US06037139505,44913
1400000US06037139506,58295
1400000US06037139600,90900
1400000US06037139701,183688
1400000US06037139703,240083
1400000US06037139704,136913
1400000US06037139705,"250,000+"
1400000US06037139801,205000
1400000US06037139802,229792
1400000US06037141101,85000
1400000US06037141102,114009
1400000US06037141201,95735
1400000US06037141202,109297
1400000US06037141303,85878
1400000US06037141304,112781
1400000US06037141305,108036
1400000US06037141306,102917
1400000US06037141400,109961
1400000US06037141500,215272
1400000US06037141600,207841
1400000US06037141700,"250,000+"
1400000US06037143101,105254
1400000US06037143102,107647
1400000US06037143200,86250
1400000US06037143301,95234
1400000US06037143302,115875
1400000US06037143401,114750
1400000US06037143402,127083
1400000US06037143500,156825
1400000US06037143602,105542
1400000US06037143603,92663
1400000US06037143605,112716
1400000US06037143606,99750
1400000US06037143700,176534
1400000US06037143801,169097
1400000US06037143802,156439
1400000US06037143901,206509
1400000US06037143902,155045
1400000US06037181000,142943
1400000US06037181300,145125
1400000US06037181400,105968
1400000US06037181500,125602
1400000US06037181600,109688
1400000US06037183101,91853
1400000US06037183103,98633
1400000US06037183104,101563
1400000US06037183220,126000
1400000US06037183221,112574
1400000US06037183222,97361
1400000US06037183300,91638
1400000US06037183401,105701
1400000US06037183402,105000
1400000US06037183510,109250
1400000US06037183520,67048
1400000US06037183610,79955
1400000US06037183620,108256
1400000US06037183701,77865
1400000US06037183702,103026
1400000US06037183810,89137
1400000US06037183820,79543
1400000US06037185101,82521
1400000US06037185102,135506
1400000US06037185202,117667
1400000US06037185203,84485
1400000US06037185204,123500
1400000US06037185310,78438
1400000US06037185320,59309
1400000US06037186100,102429
1400000US06037186201,82055
1400000US06037186202,97083
1400000US06037186203,147833
1400000US06037186301,71518
1400000US06037186302,89880
1400000US06037186401,61250
1400000US06037186403,95875
1400000US06037186404,85417
1400000US06037187101,91417
1400000US06037187102,72760
1400000US06037187200,93521
1400000US06037187300,115000
1400000US06037188100,81283
1400000US06037188201,94063
1400000US06037188202,192140
1400000US06037188300,124728
1400000US06037189101,104003
1400000US06037189102,116402
1400000US06037189201,72625
1400000US06037189202,161354
1400000US06037189300,182614
1400000US06037189400,138444
1400000US06037189501,86563
1400000US06037189502,55202
1400000US06037189600,96755
1400000US06037189702,84286
1400000US06037189703,100903
1400000US06037189704,164233
1400000US06037189801,77386
1400000US06037189802,120694
1400000US06037189903,94250
1400000US06037189904,70094
1400000US06037189905,80000
1400000US06037189906,97104
1400000US06037189907,93470
1400000US06037190101,42458
1400000US06037190102,79491
1400000US06037190201,47477
1400000US06037190202,46848
1400000US06037190302,66894
1400000US06037190303,-
1400000US06037190401,59192
1400000US06037190402,64679
1400000US06037190510,52989
1400000US06037190520,55026
1400000US06037190701,52321
1400000US06037190702,71221
1400000US06037190801,44207
1400000US06037190802,76806
1400000US06037190901,43667
1400000US06037190902,71354
